filename,0.001bar,0.002bar,0.005bar,0.01bar,0.02bar,0.05bar,0.1bar,0.2bar,0.5bar,1bar,LCD,Density_g_cm3,SA_m2_g,AV_cm3_g,Henry
ABAYOU_clean,0.000358478,0.000779691,0.001711734,0.003602708,0.006622888,0.01793288,0.033679043,0.068594836,0.162193538,0.304545299,11.27344,0.97925508,1922.335,0.677854,3.41436E-06
ABEXEM_clean,0.000208927,0.000420838,0.001044633,0.002101204,0.004199423,0.010470202,0.021486597,0.042238967,0.104290135,0.195208975,4.82084,1.760817692,552.20754,0.280551,2.14481E-06
ABEXUC_clean,0.000207743,0.00036845,0.000954443,0.002026476,0.004058832,0.010044189,0.02031572,0.039514329,0.095260068,0.184019341,4.74458,1.848143794,493.65957,0.263185,2.00001E-06
ABEYAJ_clean,0.000213843,0.000344846,0.000963256,0.001808995,0.003824127,0.009070019,0.018717991,0.037285715,0.092106542,0.171652225,4.73097,1.906405296,482.25647,0.245593,1.90108E-06
ABEYIR_clean,0.000194711,0.000355395,0.000863913,0.00169758,0.003463215,0.008792255,0.017334977,0.034664282,0.084107719,0.16228147,4.69665,1.969622886,448.69707,0.235578,1.75201E-06
ABIYIV_clean,0.000198826,0.000469754,0.00122136,0.002302886,0.005016534,0.012202675,0.023572902,0.048026319,0.112277716,0.211865525,4.33176,1.346606671,418.836,0.331055,2.44509E-06
acs.cgd.6b00463_OLOMUZ1451936_clean,0.000170482,0.00032861,0.000968536,0.002054433,0.003869202,0.009249271,0.019016165,0.037303457,0.091331453,0.182173697,10.32513,1.076084996,1812.15,0.616853,1.88871E-06
acs.inorgchem.6b00894_ic6b00894_si_003_clean,0.000349397,0.000721482,0.001739726,0.003655511,0.007090493,0.018219473,0.035628526,0.067771249,0.158727949,0.280596767,5.39452,1.360622148,365.232,0.352194,3.62335E-06
acs.inorgchem.6b02407_ic6b02407_si_003_clean,0.000867654,0.00158137,0.004632155,0.008648556,0.015925657,0.040723781,0.080985746,0.154526458,0.379808736,0.716332711,6.24791,1.121849289,1441.52,0.500411,8.14968E-06
acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.000206498,0.00022786,0.000818871,0.001680466,0.003026263,0.007006688,0.014113065,0.028418386,0.070558202,0.13796197,6.09101,1.351558909,1105.59,0.44408,1.43620E-06
acscombsci.5b00188_3001288_clean,0.00039975,0.00039975,0.001758901,0.003757652,0.006875703,0.018108683,0.03529794,0.072154905,0.168134919,0.345184267,29.41365,0.156123924,5644.76,6.00933,3.46894E-06
acscombsci.5b00188_5020072_clean,0.000222156,0.000518363,0.001101521,0.002374287,0.004716176,0.012611952,0.024719425,0.049573069,0.123129673,0.243551827,14.46967,0.42958049,4497.16,1.91436,2.46334E-06
acscombsci.5b00188_5024922_clean,0.000219555,0.000439109,0.001756437,0.002561471,0.004098354,0.011709583,0.025834267,0.052180828,0.134001538,0.272613725,20.5205,0.294992995,4757.71,3.00541,2.65838E-06
acscombsci.5b00188_5040209_clean,0.000531474,0.00088579,0.00265737,0.004946797,0.010125263,0.025919582,0.051239553,0.101920376,0.241997867,0.460474598,7.3732,1.04629853,1767.06,0.588923,5.27273E-06
ADASEF_clean,0.000217968,0.000464367,0.001658455,0.002748297,0.005970438,0.014945048,0.029169852,0.059334777,0.147043347,0.29823757,21.62414,0.435606806,4179.02,1.94258,2.96872E-06
ADASIJ_clean,0.000325395,0.000562046,0.001553022,0.003579346,0.006907251,0.018251707,0.034196068,0.067282834,0.164723878,0.329640035,18.23438,0.629250607,3491.36,1.21573,3.33857E-06
